Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,JPM,NVDA,SPY,XLF,AAPL,JPM,NVDA,SPY,XLF,AAPL,JPM,NVDA,SPY,XLF,AAPL,JPM,NVDA,SPY,XLF,AAPL,JPM,NVDA,SPY,XLF,AAPL,JPM,NVDA,SPY,XLF
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-13,249.6744384765625,280.7321472167969,180.0401611328125,658.7890014648438,48.470184326171875,250.1199951171875,283.44000244140625,180.25,662.2899780273438,48.88999938964844,256.3299865722656,287.19000244140625,186.08999633789062,672.3400268554688,49.459999084472656,249.52000427246094,282.95001220703125,179.94000244140625,661.3599853515625,48.849998474121094,255.47999572753906,284.6700134277344,184.9199981689453,669.27001953125,49.11000061035156,36930000,9091200,160988400,97200200,47595200
2026-03-16,252.36964416503906,283.4261474609375,183.0067138671875,665.493408203125,48.87666320800781,252.82000732421875,286.1600036621094,183.22000122070312,669.030029296875,49.29999923706055,253.88999938964844,289.2699890136719,188.8800048828125,672.0700073242188,49.75,249.8800048828125,284.6099853515625,181.41000366210938,667.1199951171875,49.11000061035156,252.11000061035156,286.3399963378906,182.97000122070312,668.3800048828125,49.25,32074200,8149000,217307400,82023100,45720100
2026-03-17,253.77711486816406,284.1492004394531,181.71820068359375,667.2440185546875,49.13443374633789,254.22999572753906,286.8900146484375,181.92999267578125,670.7899780273438,49.560001373291016,255.1300048828125,291.760009765625,185.39999389648438,674.4400024414062,50.189998626708984,252.17999267578125,285.95001220703125,181.67999267578125,669.7000122070312,49.5099983215332,252.9600067138672,289.0,185.05999755859375,672.3900146484375,49.70000076293945,32361600,8961200,182497800,87128000,46974000
2026-03-18,249.49476623535156,284.9910583496094,180.1899871826172,657.9335327148438,48.54949951171875,249.94000244140625,287.739990234375,180.39999389648438,661.4299926757812,48.970001220703125,254.94000244140625,289.4100036621094,183.3800048828125,669.719970703125,49.709999084472656,249.0,285.1199951171875,180.3300018310547,661.1900024414062,48.91999816894531,252.6300048828125,286.8299865722656,182.47999572753906,668.3599853515625,49.369998931884766,35757900,10057000,156683100,82062600,49239100
2026-03-19,248.5165252685547,285.2188415527344,178.3521270751953,656.3121948242188,48.5693244934082,248.9600067138672,287.9700012207031,178.55999755859375,659.7999877929688,48.9900016784668,251.8300018310547,289.510009765625,179.97999572753906,662.97998046875,49.18000030517578,247.3000030517578,284.6199951171875,175.7899932861328,655.1699829101562,48.52000045776367,249.39999389648438,286.8800048828125,178.00999450683594,656.969970703125,48.77000045776367,34864100,9846700,170968500,111272500,58374000
2026-03-20,247.54823303222656,283.8223571777344,172.4989471435547,646.9034423828125,48.65855407714844,247.99000549316406,286.55999755859375,172.6999969482422,648.5700073242188,49.08000183105469,249.1999969482422,290.7099914550781,178.25999450683594,656.6900024414062,49.34000015258789,246.0,285.2699890136719,171.72000122070312,644.719970703125,48.790000915527344,247.97999572753906,288.0799865722656,178.0,656.510009765625,48.959999084472656,88331100,22436500,241323500,163617500,82914000
2026-03-23,251.04200744628906,287.14031982421875,175.43553161621094,653.6959228515625,49.0980110168457,251.49000549316406,289.9100036621094,175.63999938964844,655.3800048828125,49.27000045776367,254.60000610351562,295.75,178.3699951171875,662.6199951171875,49.86000061035156,250.27999877929688,287.9700012207031,174.75999450683594,653.9400024414062,49.220001220703125,253.97000122070312,294.30999755859375,177.25999450683594,658.0700073242188,49.70000076293945,40546100,11470800,182836300,134802700,81044800
2026-03-24,251.1917266845703,289.6065368652344,174.99603271484375,651.5015869140625,49.107975006103516,251.63999938964844,292.3999938964844,175.1999969482422,653.1799926757812,49.279998779296875,254.8300018310547,295.4800109863281,176.22000122070312,657.030029296875,49.59000015258789,249.5500030517578,285.3699951171875,173.97999572753906,649.8800048828125,48.779998779296875,250.35000610351562,286.1700134277344,174.8300018310547,651.3200073242188,48.79999923706055,45152300,11092300,147667800,96457500,43296400
2026-03-25,252.16998291015625,292.59771728515625,178.47198486328125,655.1322021484375,49.16776657104492,252.6199951171875,295.4200134277344,178.67999267578125,656.8200073242188,49.34000015258789,255.0,297.6400146484375,181.22000122070312,660.8900146484375,49.95000076293945,251.60000610351562,292.44000244140625,176.85000610351562,654.239990234375,48.9900016784668,254.10000610351562,294.1499938964844,177.10000610351562,658.6699829101562,49.59000015258789,28476700,12188200,162602100,90653800,40438800
2026-03-26,252.43951416015625,288.8736267089844,171.04066467285156,643.432373046875,48.87877655029297,252.88999938964844,291.6600036621094,171.24000549316406,645.0900268554688,49.04999923706055,257.0,294.989990234375,176.50999450683594,654.8499755859375,49.4900016784668,250.77000427246094,290.7300109863281,171.13999938964844,644.8200073242188,48.880001068115234,252.1199951171875,292.5799865722656,176.07000732421875,652.0599975585938,49.11000061035156,41796700,8669200,186152200,96494400,45035700
2026-03-27,248.35679626464844,280.13787841796875,167.32498168945312,632.4606323242188,47.64310836791992,248.8000030517578,282.8399963378906,167.52000427246094,634.0900268554688,47.810001373291016,255.49000549316406,290.1099853515625,170.97000122070312,642.6599731445312,48.84000015258789,248.07000732421875,281.75,167.00999450683594,633.1099853515625,47.66999816894531,253.89999389648438,289.1400146484375,170.0,642.5,48.790000915527344,47900000,9873300,196212700,103649400,64823900
2026-03-30,246.19065856933594,281.0589904785156,164.97772216796875,630.3460693359375,48.19118881225586,246.6300048828125,283.7699890136719,165.1699981689453,631.969970703125,48.36000061035156,250.8699951171875,287.25,169.4499969482422,640.3699951171875,48.720001220703125,245.50999450683594,282.3299865722656,164.27000427246094,629.280029296875,48.09000015258789,250.07000732421875,284.739990234375,168.77999877929688,640.1099853515625,48.22999954223633,39446200,11734400,185627000,99275900,58128900
2026-03-31,253.33790588378906,291.3497314453125,174.1969757080078,648.6688842773438,49.197662353515625,253.7899932861328,294.1600036621094,174.39999389648438,650.3400268554688,49.369998931884766,255.47999572753906,295.07000732421875,174.6199951171875,651.5399780273438,49.459999084472656,247.10000610351562,284.95001220703125,166.9600067138672,637.97998046875,48.5099983215332,247.91000366210938,288.4700012207031,166.97000122070312,638.9400024414062,48.91999816894531,49598100,12956900,226181300,152534100,85361900
2026-04-01,255.1746368408203,292.5580749511719,175.54541015625,653.5562744140625,49.267417907714844,255.6300048828125,295.3800048828125,175.75,655.239990234375,49.439998626708984,256.17999267578125,298.7200012207031,177.3699951171875,658.52001953125,49.849998474121094,253.3300018310547,292.9100036621094,174.75,653.0,49.13999938964844,254.0800018310547,295.3900146484375,176.0,653.9000244140625,49.79999923706055,40059400,11267200,168132000,97841500,61558300
2026-04-02,255.464111328125,291.7855224609375,177.18348693847656,654.144775390625,49.35710144042969,255.9199981689453,294.6000061035156,177.38999938964844,655.8300170898438,49.529998779296875,256.1300048828125,295.6199951171875,177.49000549316406,658.2000122070312,49.810001373291016,250.64999389648438,288.7200012207031,171.3699951171875,645.1099853515625,48.599998474121094,254.1999969482422,291.9100036621094,172.17999267578125,646.4199829101562,48.83000183105469,31289400,6669300,143143200,68358700,39519800
2026-04-06,258.39886474609375,294.125,177.43319702148438,657.23681640625,49.70588302612305,258.8599853515625,295.45001220703125,177.63999938964844,658.9299926757812,49.880001068115234,262.1600036621094,296.8299865722656,177.7899932861328,659.719970703125,50.0099983215332,256.4599914550781,293.20001220703125,175.75999450683594,655.52001953125,49.45000076293945,256.510009765625,294.05999755859375,177.16000366210938,655.8599853515625,49.5099983215332,29329900,7142600,107564300,39105800,27345800
2026-04-07,253.0484161376953,296.0662536621094,177.89266967773438,657.5260009765625,49.70588302612305,253.5,297.3999938964844,178.10000610351562,659.219970703125,49.880001068115234,256.20001220703125,298.17999267578125,178.22999572753906,659.6099853515625,50.02000045776367,245.6999969482422,292.70001220703125,173.66000366210938,651.0599975585938,49.5,256.1600036621094,293.1400146484375,175.72999572753906,656.6500244140625,49.619998931884766,62148000,7849100,132534900,69980400,31750000
2026-04-08,258.4388122558594,306.5888366699219,181.8680419921875,674.27294921875,51.02127456665039,258.8999938964844,307.9700012207031,182.0800018310547,676.010009765625,51.20000076293945,259.75,311.260009765625,185.25999450683594,677.0800170898438,51.47999954223633,256.5299987792969,305.3299865722656,180.3000030517578,671.4600219726562,50.959999084472656,258.45001220703125,307.9700012207031,184.5,676.3900146484375,51.189998626708984,41032800,10590200,147732700,93606100,48175400
2026-04-09,260.0259704589844,308.938232421875,183.69590759277344,678.162841796875,51.150821685791016,260.489990234375,310.3299865722656,183.91000366210938,679.9099731445312,51.33000183105469,261.1199951171875,311.260009765625,184.0800018310547,681.1599731445312,51.540000915527344,256.07000732421875,306.1099853515625,180.6199951171875,673.77001953125,50.79999923706055,259.0,306.95001220703125,181.83999633789062,674.8400268554688,50.939998626708984,28121600,6586600,116428500,57134400,30330500
2026-04-10,260.0159912109375,308.4803161621094,188.41041564941406,677.7140502929688,50.5927734375,260.4800109863281,309.8699951171875,188.6300048828125,679.4600219726562,50.77000045776367,262.19000244140625,310.3500061035156,190.0,682.030029296875,51.290000915527344,259.0199890136719,306.7200012207031,184.3000030517578,678.4500122070312,50.63999938964844,259.9800109863281,310.0,184.30999755859375,681.3200073242188,51.22999954223633,31291500,6069700,160459500,42253500,35427500
2026-04-13,258.73828125,312.2732238769531,189.08961486816406,684.3369750976562,51.47966766357422,259.20001220703125,313.67999267578125,189.30999755859375,686.0999755859375,51.65999984741211,260.17999267578125,313.739990234375,189.66000366210938,686.2999877929688,51.66999816894531,256.6600036621094,305.4599914550781,185.74000549316406,676.5800170898438,50.41999816894531,259.7300109863281,307.4700012207031,186.02999877929688,677.4099731445312,50.5,36234700,8318200,133648200,54185800,33635900
